UserName,Handles,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image_link,Tweet_URL
@Taifadigital,Taifa Digital Forum,"Jul 29, 2023 · 5:14 PM UTC","Leo mwanasiasa huyu licha ya kufadhiliwa wakati wote na Rais Samia, lakini anamlipa maudhi. Alipokuwa nje nchi. Rais Samia alimwambia rudi nyumbani, nitahakikisha usalama wako. Lakini  bado anapita kumdhihaki Rais Samia sisi tumuachie Mungu.” Jerry Silaa Mbunge Ukonga.","Leo mwanasiasa huyu licha ya kufadhiliwa wakati wote na Rais Samia, lakini anamlipa maudhi. Alipokuwa nje nchi. Rais Samia alimwambia rudi nyumbani, nitahakikisha usalama wako. Lakini  bado anapita kumdhihaki Rais Samia sisi tumuachie Mungu.” Jerry Silaa Mbunge Ukonga.",,12,,,https://nitter.net/pic/profile_images%2F1640115766623125505%2FeiadnUQm_bigger.jpg,https://nitter.net/Taifadigital/status/1685337945581211648#m
@Taifadigital,Taifa Digital Forum,"Jul 29, 2023 · 5:14 PM UTC",Mwanasiasa huyu aliwahi kupata madhira na kiongozi pekee aliyekwenda kumuona ni Dkt Samia Suluhu Hassan. Na kama haitoshi Dkt Samia alipokuwa Rais mwanasiasa huyo alikimbia nchi za nje akawaacha wale aliokuwa anawaomba kura 2020.,Mwanasiasa huyu aliwahi kupata madhira na kiongozi pekee aliyekwenda kumuona ni Dkt Samia Suluhu Hassan. Na kama haitoshi Dkt Samia alipokuwa Rais mwanasiasa huyo alikimbia nchi za nje akawaacha wale aliokuwa anawaomba kura 2020.,,12,,,https://nitter.net/pic/profile_images%2F1640115766623125505%2FeiadnUQm_bigger.jpg,https://nitter.net/Taifadigital/status/1685337936244469760#m
@Taifadigital,Taifa Digital Forum,"Jul 29, 2023 · 5:14 PM UTC","LISSU ANALIPA MEMA ALIYOFANYIWA NA RAIS SAMIA KWA KUMTUKANA. TUNAMUACHIA MUNGU

Ndugu Katibu Mkuu jana tumemuona mwanasiasa mmoja akiongea maneno ambayo kwa malezi yetu sisi watu wa Pwani hata kuyarudia hapa hatuwezi.","LISSU ANALIPA MEMA ALIYOFANYIWA NA RAIS SAMIA KWA KUMTUKANA. TUNAMUACHIA MUNGU

Ndugu Katibu Mkuu jana tumemuona mwanasiasa mmoja akiongea maneno ambayo kwa malezi yetu sisi watu wa Pwani hata kuyarudia hapa hatuwezi.",,12,,,https://nitter.net/pic/profile_images%2F1640115766623125505%2FeiadnUQm_bigger.jpg,https://nitter.net/Taifadigital/status/1685337933887180802#m
@Taifadigital,Taifa Digital Forum,"Jul 29, 2023 · 5:08 PM UTC","Leo mwanasiasa huyu licha ya kufadhiliwa wakati wote na Rais Samia, lakini anamlipa maudhi. Alipokuwa nje nchi. Rais Samia alimwambia rudi nyumbani, nitahakikisha usalama wako. Lakini  bado anapita kumdhihaki Rais Samia sisi tumuachie Mungu.” Jerry Silaa Mbunge Ukonga.","Leo mwanasiasa huyu licha ya kufadhiliwa wakati wote na Rais Samia, lakini anamlipa maudhi. Alipokuwa nje nchi. Rais Samia alimwambia rudi nyumbani, nitahakikisha usalama wako. Lakini  bado anapita kumdhihaki Rais Samia sisi tumuachie Mungu.” Jerry Silaa Mbunge Ukonga.",,12,,,https://nitter.net/pic/profile_images%2F1640115766623125505%2FeiadnUQm_bigger.jpg,https://nitter.net/Taifadigital/status/1685336432192212992#m
@Taifadigital,Taifa Digital Forum,"Jul 29, 2023 · 5:08 PM UTC",Mwanasiasa huyu aliwahi kupata madhira na kiongozi pekee aliyekwenda kumuona ni Dkt Samia Suluhu Hassan. Na kama haitoshi Dkt Samia alipokuwa Rais mwanasiasa huyo alikimbia nchi za nje akawaacha wale aliokuwa anawaomba kura 2020.,Mwanasiasa huyu aliwahi kupata madhira na kiongozi pekee aliyekwenda kumuona ni Dkt Samia Suluhu Hassan. Na kama haitoshi Dkt Samia alipokuwa Rais mwanasiasa huyo alikimbia nchi za nje akawaacha wale aliokuwa anawaomba kura 2020.,,12,,,https://nitter.net/pic/profile_images%2F1640115766623125505%2FeiadnUQm_bigger.jpg,https://nitter.net/Taifadigital/status/1685336421609930752#m
@wizara_elimuTz,Wizara ya Elimu Tanzania,"Jul 29, 2023 · 5:06 PM UTC","Mhe. Samia Suluhu Hassan,  katika kilele cha mkutano wa viongozi wa Afrika juu ya rasilimali watu alisema Watanzania ambao tunaona kuanzia mtoto mpaka mzee,  wote wapate ujuzi wa kusoma na kuandika, tuhakikishe tunawatendea haki walengwa.

# Prof.  Carolyne Nombo
#Ziara-DSM","Mhe. Samia Suluhu Hassan,  katika kilele cha mkutano wa viongozi wa Afrika juu ya rasilimali watu alisema Watanzania ambao tunaona kuanzia mtoto mpaka mzee,  wote wapate ujuzi wa kusoma na kuandika, tuhakikishe tunawatendea haki walengwa.

# Prof.  Carolyne Nombo
#Ziara-DSM",,12,,,https://nitter.net/pic/profile_images%2F707138381818548224%2FrfjEGhFQ_bigger.jpg,https://nitter.net/wizara_elimuTz/status/1685336032361730048#m
@Taifadigital,Taifa Digital Forum,"Jul 29, 2023 · 4:35 PM UTC","tunampongeza Mheshimiwa Rais Samia kwa juhudi kubwa aliyofanya katika bandari yetu, lakini bado kuna uhitaji wa kuongeza kina cha gati na kuhitaji meli kubwa za kisasa zije kwetu maana nyingi zinaishia Mombasa kutokana na urefu wake,” Mhe Atupele Mwakibete, Naibu Waziri Ujenzi","tunampongeza Mheshimiwa Rais Samia kwa juhudi kubwa aliyofanya katika bandari yetu, lakini bado kuna uhitaji wa kuongeza kina cha gati na kuhitaji meli kubwa za kisasa zije kwetu maana nyingi zinaishia Mombasa kutokana na urefu wake,” Mhe Atupele Mwakibete, Naibu Waziri Ujenzi",,12,,,https://nitter.net/pic/profile_images%2F1640115766623125505%2FeiadnUQm_bigger.jpg,https://nitter.net/Taifadigital/status/1685328278121263104#m
@Taifadigital,Taifa Digital Forum,"Jul 29, 2023 · 4:35 PM UTC","RAIS SAMIA AMEIFANYIA MAKUBWA BANDARI YETU
“Kama tungekuwa na teknolojia ya kutosha na vifaa gharama za bidhaa zetu zingekuwa ndogo. Na kwa bahati mbaya bandari yetu ya Dar es Salaam, licha ya serikali kuboresha,","RAIS SAMIA AMEIFANYIA MAKUBWA BANDARI YETU
“Kama tungekuwa na teknolojia ya kutosha na vifaa gharama za bidhaa zetu zingekuwa ndogo. Na kwa bahati mbaya bandari yetu ya Dar es Salaam, licha ya serikali kuboresha,",,12,,,https://nitter.net/pic/profile_images%2F1640115766623125505%2FeiadnUQm_bigger.jpg,https://nitter.net/Taifadigital/status/1685328275403407361#m
@SamiaFacts,SamiaFacts,"Jul 29, 2023 · 3:53 PM UTC","Rais Samia Suluhu ameleta madaliko kwenye siasa na uongozi nchini Tanzania.
#MamaYukoKazini","Rais Samia Suluhu ameleta madaliko kwenye siasa na uongozi nchini Tanzania.
#MamaYukoKazini",,12,,,https://nitter.net/pic/profile_images%2F1595825483278581760%2Fx1LKwxNQ_bigger.jpg,https://nitter.net/SamiaFacts/status/1685317646277890048#m
@SamiaFacts,SamiaFacts,"Jul 29, 2023 · 3:43 PM UTC","Ushirikiano na DP World utaongeza ufanisi na kuongeza mizigo inayopitishwa kwenye bandari ya Dar es Salaam.
#MamaYukoKazini","Ushirikiano na DP World utaongeza ufanisi na kuongeza mizigo inayopitishwa kwenye bandari ya Dar es Salaam.
#MamaYukoKazini",,12,,,https://nitter.net/pic/profile_images%2F1595825483278581760%2Fx1LKwxNQ_bigger.jpg,https://nitter.net/SamiaFacts/status/1685315227062005760#m
